metric1_score_true,sentence_bleu_score_true,sbertSimilarity_score_true
7.6923076923076925,0.07692307692307693,0.466115266084671
0.0,0.0,0.47323721647262573
11.11111111111111,0.11111111111111109,0.4319022595882416
0.0,0.0,0.45828187465667725
0.0,0.05263157894736841,0.4286302626132965
0.0,0.0,0.42793092131614685
0.0,0.07692307692307693,0.4284672439098358
0.0,0.0,0.5110855102539062
0.0,0.0909090909090909,0.46988412737846375
0.0,0.0,0.3443947732448578
0.0,0.0,0.40372973680496216
0.0,0.0,0.44094476103782654
10.526315789473683,0.10526315789473682,0.535010039806366
0.0,0.0,0.3714013695716858
0.0,0.0,0.4029582142829895
14.285714285714285,0.21428571428571425,0.5177369713783264
0.0,0.0,0.5817371010780334
0.0,0.0,0.4527849853038788
7.142857142857142,0.07142857142857141,0.5260848999023438
0.0,0.0,0.4443243443965912
0.0,0.0,0.3656003177165985
6.25,0.0625,0.41433289647102356
0.0,0.0,0.35281187295913696
0.0,0.0,0.36936360597610474
27.27272727272727,0.2727272727272727,0.7204640507698059
18.75,0.1875,0.6134433150291443
8.333333333333332,0.08333333333333333,0.47304168343544006
0.0,0.0,0.395011305809021
16.666666666666664,0.16666666666666669,0.6066281199455261
7.6923076923076925,0.07692307692307693,0.5068227052688599
0.0,0.06666666666666667,0.45592910051345825
0.0,0.0,0.4503708779811859
0.0,0.0,0.3963847756385803
15.384615384615385,0.15384615384615385,0.5088195204734802
15.384615384615385,0.15384615384615385,0.5801145434379578
9.090909090909092,0.2727272727272727,0.5612850785255432
6.666666666666667,0.06666666666666667,0.4931841790676117
25.0,0.25,0.5399290323257446
11.11111111111111,0.2222222222222222,0.5405759811401367
7.142857142857142,0.07142857142857141,0.6358447670936584
4.761904761904762,0.09523809523809525,0.4973807632923126
22.22222222222222,0.2222222222222222,0.49730879068374634
0.0,0.0,0.6030676364898682
0.0,0.0588235294117647,0.48386350274086
18.181818181818183,0.36363636363636365,0.5378282070159912
10.0,0.10000000000000002,0.5640690326690674
6.666666666666667,0.13333333333333333,0.5348419547080994
0.0,0.0,0.3649395704269409
0.0,0.0,0.48238110542297363
0.0,0.0,0.45001184940338135
27.27272727272727,0.36363636363636365,0.7602525353431702
0.0,0.0909090909090909,0.5469450354576111
25.0,0.375,0.5391494035720825
12.5,0.12500000000000003,0.5041237473487854
0.0,0.0,0.47509676218032837
0.0,0.07142857142857141,0.5799522995948792
0.0,0.0,0.4842178523540497
0.0,0.0,0.484575092792511
0.0,0.0,0.3666151762008667
15.0,0.2,0.5560264587402344
0.0,0.0,0.32484012842178345
0.0,0.0625,0.3849616050720215
0.0,0.0,0.43481892347335815
0.0,0.0,0.3969547748565674
0.0,0.0,0.43654417991638184
0.0,0.0,0.2520766258239746
20.0,0.2,0.581848680973053
16.666666666666664,0.25,0.6433869004249573
0.0,0.0,0.5376673340797424
28.57142857142857,0.2857142857142857,0.6772061586380005
7.142857142857142,0.07142857142857141,0.4777475893497467
0.0,0.11111111111111109,0.4987090826034546
15.789473684210526,0.15789473684210523,0.5725018382072449
9.090909090909092,0.0909090909090909,0.5398528575897217
0.0,0.0,0.46017056703567505
38.46153846153847,0.46153846153846156,0.7101609110832214
0.0,0.0,0.38334399461746216
0.0,0.0,0.4461784362792969
0.0,0.0,0.3952524960041046
0.0,0.0,0.40380415320396423
0.0,0.0,0.45071476697921753
0.0,0.0,0.4195253849029541
30.0,0.3,0.7563801407814026
0.0,0.0,0.5125839114189148
0.0,0.0,0.4950219690799713
0.0,0.0,0.4562017321586609
7.142857142857142,0.07142857142857141,0.47179603576660156
0.0,0.0,0.5271345376968384
12.5,0.12500000000000003,0.44703391194343567
8.333333333333332,0.08333333333333333,0.5485159754753113
6.666666666666667,0.06666666666666667,0.5895251035690308
7.6923076923076925,0.07692307692307693,0.5546914339065552
0.0,0.08333333333333333,0.4844100773334503
27.27272727272727,0.2727272727272727,0.5728299617767334
0.0,0.0,0.4801229238510132
0.0,0.07142857142857141,0.45190194249153137
26.31578947368421,0.3157894736842105,0.6199765801429749
0.0,0.0,0.3970675766468048
0.0,0.0,0.43685728311538696
0.0,0.12500000000000003,0.5109472274780273
